[Nest] 18564 - 20.08.2023, 13:09:19 ERROR [/favs/artist/invalid] method: POST, url: /favs/artist/invalid, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:19 ERROR [/favs/album/invalid] method: POST, url: /favs/album/invalid, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:19 ERROR [/favs/track/invalid] method: POST, url: /favs/track/invalid, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:19 ERROR [/favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:09:19 ERROR [/favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:09:19 ERROR [/favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: POST, url: /favs/track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 422, message: Unprocessable Entity
[Nest] 18564 - 20.08.2023, 13:09:24 ERROR [/album/some-invalid-id] method: DELETE, url: /album/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:24 ERROR [/album/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /album/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:24 ERROR [/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:24 ERROR [/track/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: DELETE, url: /track/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:25 ERROR [/artist/some-invalid-id] method: GET, url: /artist/some-invalid-id, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:25 ERROR [/artist/0a35dd62-e09f-444b-a628-f4e7c6954f57] method: GET, url: /artist/0a35dd62-e09f-444b-a628-f4e7c6954f57, status: 404, message: Not Found
[Nest] 18564 - 20.08.2023, 13:09:26 ERROR [/artist] method: POST, url: /artist, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:26 ERROR [/artist] method: POST, url: /artist, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:26 ERROR [/artist] method: POST, url: /artist, status: 400, message: Bad Request
[Nest] 18564 - 20.08.2023, 13:09:26 ERROR [/artist] method: POST, url: /artist, status: 400, message: Bad Request
